Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Company-Name,Consumer-Name,Date,Cost,Gross-Margin%,Break-Even,Net-Sales,Sales-per-Qty,Profit-per-Qty,Cost-per-Qty
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092,null,Jeremias Ledwith,2019-04-18,1620.8748,4.999999999999996,324.1749600000003,1705.984,189.576,9.4788,180.09720000000002
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568,null,Alejoa Kinder,2019-07-01,843.0672,7.500000000000003,112.40895999999995,911.2239999999999,227.856,17.0892,210.7668
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432,null,Brittan Scheffler,2019-12-11,10.108799999999999,35.00000000000001,0.28882285714285705,15.352,5.184,1.8144,3.3695999999999997
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.976,3,0.2,132.5922,null,Abrahan Grimsdell,2019-04-07,275.3838,32.49999999999999,8.473347692307694,407.776,135.992,44.197399999999995,91.7946
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,Weissnat-Romaguera,null,2019-06-09,192.668,-180.0,-1.0703777777777779,68.01,13.762,-24.7716,38.5336
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,MacGyver and Torphy,null,2018-04-11,6.359999999999999,-149.99999999999997,-0.04240000000000001,1.744,0.848,-1.272,2.1199999999999997
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,null,Abrahan Grimsdell,2018-11-15,652.5624,1.9999999999999956,326.28120000000075,665.88,110.98,2.2196000000000002,108.7604
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.99,null,Jeramey Layus,2019-03-01,45.51,18.000000000000004,2.528333333333333,55.5,27.75,4.995,22.755
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.0,2.4824,null,Laura Daintrey,2019-07-24,6.0776,28.999999999999996,0.20957241379310348,8.56,4.28,1.2412,3.0388
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011,null,Aida Wickson,2018-10-13,197.469,7.499999999999998,26.329200000000004,213.28,71.16,5.337,65.823
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384,null,Abrahan Grimsdell,2018-06-15,15.335999999999999,32.5,0.471876923076923,22.52,5.68,1.846,3.8339999999999996
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0.0,5.0596,Lemke,null,2019-07-02,14.400400000000001,25.999999999999996,0.5538615384615386,19.46,2.7800000000000002,0.7228,2.0572000000000004
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,Daniel LLC,null,2019-07-08,44.6516,26.0,1.7173692307692308,60.34,8.620000000000001,2.2412,6.3788
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,null,Dur Turner,2018-01-14,72.3916,-1.4285714285714244,-50.674120000000144,71.072,35.686,-0.5098,36.1958
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649,null,Liuka Kiezler,2018-02-07,804.3651000000001,23.0,34.972395652173915,1044.63,348.21000000000004,80.0883,268.12170000000003
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,null,Talbot Colman,2019-12-21,7.425599999999999,36.25000000000001,0.20484413793103443,11.448,5.824,2.1112,3.7127999999999997
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,null,Hatty Frances,2019-05-04,78.79589999999999,13.000000000000005,6.061223076923073,90.57,30.189999999999998,3.9247,26.265299999999996
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,null,Jeremias Ledwith,2019-06-22,4748.4822,-54.00000000000003,-87.93485555555552,3082.93,440.48999999999995,-237.86460000000002,678.3546
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,null,Shandeigh Kidston,2018-03-12,16.6712,-73.33333333333331,-0.2273345454545455,8.918000000000001,4.809,-3.5266,8.3356
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,null,Aurea Gepson,2019-09-17,108.675,12.500000000000005,8.693999999999996,124.0,41.4,5.175,36.225
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,null,Ruby Ketchaside,2018-05-10,2.1624,33.75,0.0640711111111111,3.0639999999999996,1.632,0.5508,1.0812
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,null,Alejoa Kinder,2019-07-15,76.5948,11.249999999999995,6.80842666666667,86.104,14.384,1.6181999999999999,12.7658
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,null,Brok Addionizio,2018-08-10,12.573,-83.33333333333334,-0.15087599999999998,6.1579999999999995,1.143,-0.9525,2.0955
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,null,Chad Karslake,2019-05-12,12.214,22.499999999999996,0.5428444444444446,15.56,7.88,1.773,6.107
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,Daniel LLC,null,2019-12-13,19.5252,33.75,0.5785244444444445,29.272000000000002,9.824,3.3156,6.508400000000001
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737,Kozey Inc,null,2019-12-07,974.0703000000001,11.25,86.58402666666667,1097.344,156.792,17.6391,139.15290000000002
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,Macejkovic-Kerluke,null,2018-06-02,338.883,-77.5,-4.372683870967742,190.32,38.184,-29.592599999999997,67.7766
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,Deckow and Sons,null,2018-11-09,77.91300000000001,31.249999999999993,2.4932160000000008,113.128,12.592,3.935,8.657000000000002
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,Deckow and Sons,null,2018-07-12,579.3756,-8.82352941176471,-65.66256799999996,532.0791999999999,177.4664,-15.6588,193.12519999999998
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,Deckow and Sons,null,2019-01-27,227.20499999999998,-7.14285714285714,-31.808700000000012,211.75799999999998,70.68599999999999,-5.049,75.735
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,Cartwright LLC,null,2019-12-10,329.4116,11.249999999999996,29.281031111111123,370.968,92.792,10.4391,82.3529
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,Lemke,null,2019-11-11,130.6116,11.249999999999998,11.609920000000002,146.96800000000002,36.792,4.1391,32.6529
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894,Krajcik and Carroll,null,2018-10-17,73.98599999999999,5.000000000000007,14.797199999999977,77.88,38.94,1.947,36.992999999999995
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,Walter,null,2018-12-22,86.0544,10.0,8.60544,95.416,47.808,4.7808,43.0272
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,Mosciski LLC,null,2018-03-15,26.208599999999997,43.00000000000001,0.6095023255813952,45.98,22.99,9.8857,13.104299999999999
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,Kling-Labadie,null,2019-04-23,9.2538,47.0,0.19688936170212765,17.46,8.73,4.1031,4.6269
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,null,Franzen Ellett,2019-09-02,203.48160000000001,3.9999999999999964,50.870400000000046,211.96,52.99,2.1196,50.870400000000004
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.95,null,Franzen Ellett,2019-04-17,40.05,11.000000000000007,3.6409090909090884,45.0,15.0,1.6500000000000001,13.35
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.0,6.104,null,Catriona Soppit,2018-03-08,15.696000000000002,27.999999999999996,0.5605714285714287,21.8,10.9,3.052,7.848000000000001
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,null,Jeramey Layus,2018-10-13,20.2566,47.0,0.4309914893617021,38.22,6.37,2.9939,3.3760999999999997
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,null,Franzen Ellett,2018-05-15,39.845400000000005,47.0,0.8477744680851065,75.18,12.530000000000001,5.8891,6.640900000000001
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,null,Taylor Melsome,2019-07-22,3.2032000000000003,48.0,0.06673333333333334,6.16,3.08,1.4784,1.6016000000000001
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981,null,Brok Addionizio,2019-12-04,72.89189999999999,19.000000000000004,3.836415789473683,89.99,89.99,17.0981,72.89189999999999
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,Weissnat-Romaguera,null,2018-06-13,9.0034,41.0,0.2195951219512195,15.26,2.18,0.8937999999999999,1.2861999999999998
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0.0,298.6855,Blanda,null,2019-02-14,731.2645,29.000000000000004,25.21601724137931,1029.95,205.99,59.7371,146.2529
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14,null,Elizabet McCrillis,2018-06-01,156.42000000000002,24.999999999999993,6.256800000000003,208.56,34.76,8.69,26.070000000000004
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552,null,Elizabet McCrillis,2018-09-17,16.848,48.0,0.351,32.4,6.4799999999999995,3.1104,3.3695999999999997
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,null,Brok Addionizio,2019-11-28,312.312,2.2222222222222263,140.54039999999975,319.31,63.882000000000005,1.4196,62.4624
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,null,Laura Daintrey,2018-10-20,7.5712,48.0,0.15773333333333334,14.56,7.28,3.4944,3.7856
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.0,2,0.0,3.3,null,Abrahan Grimsdell,2018-06-21,26.7,11.000000000000004,2.4272727272727264,30.0,15.0,1.65,13.35
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362,null,Aida Wickson,2019-01-22,32.117999999999995,33.75000000000001,0.9516444444444441,48.279999999999994,12.12,4.0905,8.029499999999999
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.0,0.84,null,Tommy Kohlerman,2018-09-09,0.84,50.0,0.0168,1.68,1.68,0.84,0.84
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512,null,Webb Worral,2018-09-02,7.8288,44.0,0.17792727272727274,13.98,6.99,3.0756,3.9144
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,null,Brittan Scheffler,2018-12-14,16.4628,36.25,0.4541462068965518,25.624000000000002,4.304,1.5602,2.7438000000000002
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631,null,Webb Worral,2018-03-07,77.76689999999999,47.0,1.654614893617021,146.73,48.91,22.9877,25.922299999999996
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328,null,Tommy Kohlerman,2019-10-07,57.427200000000006,27.999999999999996,2.050971428571429,79.76,19.94,5.5832,14.356800000000002
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,MacGyver and Torphy,null,2018-03-26,228.3375,-7.1428571428571415,-31.967250000000007,212.815,42.623000000000005,-3.0445,45.667500000000004
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024,8,0.2,111.3024,Lesch and Rowe,null,2019-02-06,1001.7215999999999,10.000000000000005,100.17215999999993,1112.8239999999998,139.128,13.9128,125.21519999999998
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988,Torphy and Kertzmann,null,2018-02-19,104.97999999999999,37.5,2.7994666666666665,167.768,41.992,15.747,26.244999999999997
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0.0,35.6636,null,Abrahan Grimsdell,2018-06-21,40.21639999999999,47.00000000000001,0.8556680851063827,75.88,37.94,17.8318,20.108199999999997
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731,null,Brok Addionizio,2019-12-19,2.885,37.5,0.07693333333333333,4.4159999999999995,4.616,1.731,2.885
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0.0,8.763,null,Alejoa Kinder,2019-07-22,10.287,46.0,0.22363043478260872,19.05,6.3500000000000005,2.921,3.4290000000000003
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912,null,Catherine Ilieve,2018-02-11,946.3272000000001,-13.750000000000004,-68.82379636363635,831.736,103.992,-14.2989,118.29090000000001
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,null,Talbot Colman,2019-02-14,95.82700000000001,1.2499999999999936,76.6616000000004,96.84,48.52,0.6065,47.913500000000006
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196,null,Catherine Ilieve,2019-03-01,90.98,-24.999999999999993,-3.639200000000001,72.584,72.784,-18.196,90.98
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,Johns Inc,null,2018-06-26,3.1824,-154.99999999999997,-0.020531612903225808,0.44799999999999995,0.416,-0.6447999999999999,1.0608
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,Mosciski LLC,null,2019-10-04,15.5328,-60.0,-0.25888,9.108,3.236,-1.9416,5.1776
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.724,"Dicki, Kertzmann and oConnell",null,2019-09-24,24.516,10.000000000000002,2.4515999999999996,27.04,9.08,0.908,8.171999999999999
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,null,Liuka Kiezler,2019-11-05,33.775,-74.99999999999999,-0.4503333333333334,18.7,3.8600000000000003,-2.895,6.755
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,Kozey Inc,null,2019-05-27,151.9568,27.000000000000007,5.628029629629627,208.16,208.16,56.2032,151.9568
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0.0,8.0352,Lemke,null,2019-03-12,8.704799999999999,48.00000000000001,0.18134999999999996,16.74,5.579999999999999,2.6784,2.9015999999999997
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.0,4.172,null,Dur Turner,2019-12-14,10.728000000000002,27.999999999999993,0.3831428571428573,14.9,2.98,0.8343999999999999,2.1456000000000004
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031,null,Brittan Scheffler,2019-04-05,15.186900000000001,28.999999999999996,0.5236862068965519,21.39,21.39,6.2031,15.186900000000001
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,Johns Inc,null,2019-04-08,138.1765,31.25,4.421648,200.78400000000002,28.712,8.9725,19.7395
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,Blanda,null,2019-02-19,279.3309,-21.249999999999993,-13.144983529411768,230.17600000000002,76.792,-16.3183,93.1103
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,0.0,33.2156,null,Blondy Bellard,2018-10-01,268.7444,10.999999999999998,24.431309090909092,301.96,150.98,16.6078,134.3722
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0.0,6.7966,null,Shandeigh Kidston,2018-09-03,13.193399999999999,34.0,0.3880411764705882,19.99,19.99,6.7966,13.193399999999999
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,null,Dur Turner,2018-03-28,3.2032000000000003,48.0,0.06673333333333334,6.16,3.08,1.4784,1.6016000000000001
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,"Wolf, Ondricka and Haag",null,2018-02-04,144.5108,8.750000000000004,16.51551999999999,158.168,22.624,1.9796,20.644399999999997
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,6.633,Walter,null,2019-12-27,13.467000000000002,32.99999999999999,0.4080909090909092,20.1,6.7,2.211,4.489000000000001
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782,Cartwright LLC,null,2019-12-09,65.3058,11.249999999999998,5.804960000000001,73.384,36.792,4.1391,32.6529
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104,Toy-Rutherford,null,2018-04-18,3.3696000000000006,47.99999999999999,0.07020000000000003,6.48,6.48,3.1104,3.3696000000000006
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,null,Hatty Frances,2019-01-01,6.739200000000001,47.99999999999999,0.14040000000000005,12.96,6.48,3.1104,3.3696000000000006
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,null,Elizabet McCrillis,2019-01-11,36.80460000000001,30.99999999999999,1.1872451612903232,53.34,17.78,5.5118,12.268200000000002
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,null,Elizabet McCrillis,2018-07-18,16.8096,49.00000000000001,0.34305306122448975,32.96,16.48,8.0752,8.4048
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.788,"Ankunding,Hand and Schmidt",null,2018-11-19,9.47,-66.66666666666666,-0.14205000000000004,4.982,5.682,-3.788,9.47
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426,Botsford-Sporer,null,2018-08-07,55.9874,42.0,1.3330333333333333,96.53,13.790000000000001,5.7918,7.9982
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592,null,Jeremias Ledwith,2018-02-06,33.3528,34.99999999999999,0.9529371428571431,51.111999999999995,17.104,5.9864,11.117600000000001
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,Lesch and Rowe,null,2018-07-13,55.294799999999995,29.000000000000004,1.9067172413793099,77.88,12.979999999999999,3.7642,9.2158
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,Graham,null,2019-09-04,42.005599999999994,35.0,1.20016,64.42399999999999,9.232,3.2312000000000003,6.000799999999999
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973,Smitham-Lesch,null,2019-03-17,106.7733,-11.250000000000007,-9.490959999999994,95.776,31.992,-3.5991,35.591100000000004
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,Yost-McGlynn,null,2018-02-03,4.8276,-170.0,-0.02839764705882353,0.988,0.596,-1.0132,1.6092000000000002
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,null,Jeramey Layus,2019-07-13,12.199200000000001,49.0,0.24896326530612248,23.92,5.98,2.9302,3.0498000000000003
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758,null,Brok Addionizio,2019-05-07,265.7718,-11.25,-23.62416,238.696,39.815999999999995,-4.4793,44.2953
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,null,Shandeigh Kidston,2019-02-11,106.1985,-3.7499999999999964,-28.319600000000026,102.16,34.12,-1.2794999999999999,35.399499999999996
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,null,Judy Leisk,2018-12-08,62.6994,-70.0,-0.8957057142857142,36.181999999999995,12.293999999999999,-8.6058,20.8998
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.6016,null,Vladamir Hay,2018-05-18,56.51039999999999,23.750000000000007,2.379385263157894,73.91199999999999,9.264,2.2002,7.063799999999999
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.992,1,0.2,2.0994,null,Brittan Scheffler,2018-04-27,25.8926,7.499999999999997,3.452346666666668,27.792,27.992,2.0994,25.8926
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304,1,0.2,1.0738,null,Brittan Scheffler,2018-11-21,2.2302,32.49999999999999,0.06862153846153847,3.1039999999999996,3.304,1.0738,2.2302
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67.992,Kub Group,null,2019-03-23,271.96799999999996,20.000000000000007,13.598399999999993,339.76,67.99199999999999,13.598400000000002,54.39359999999999
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0.0,10.9096,Labadie-Erdman,null,2018-04-28,31.050400000000003,25.999999999999996,1.1942461538461542,41.96,20.98,5.4548,15.525200000000002
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0.0,22.788,null,Hatty Frances,2018-11-01,53.172,30.0,1.7724,75.96,37.98,11.394,26.586
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,null,Franzen Ellett,2018-09-27,13.892399999999999,49.00000000000001,0.2835183673469387,27.24,4.54,2.2246,2.3154
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,null,Blondy Bellard,2018-07-12,25.561199999999996,36.25000000000001,0.7051365517241377,39.895999999999994,2.864,1.0382,1.8257999999999996
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,null,Jeramey Layus,2019-01-13,3.0679999999999996,35.0,0.08765714285714285,4.52,2.36,0.826,1.5339999999999998
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3,0.2,7.4925,null,Vladamir Hay,2019-05-04,16.4835,31.25,0.5274719999999999,23.776,7.992,2.4975,5.4944999999999995
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,null,Ruby Ketchaside,2019-12-28,86.4324,33.75,2.56096,130.264,21.744,7.3386,14.4054
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.0,165.3813,null,Sada Weighell,2019-06-23,622.1487,21.000000000000004,29.626128571428566,787.53,262.51,55.127100000000006,207.38289999999998
